name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
K2-136 d,K2-136,https://science.nasa.gov/exoplanet-catalog/k2-136-d/,Super Earth,3.0,1.565,25.6,0.1538,0.07,Transit,K
K2-137 b,K2-137,https://science.nasa.gov/exoplanet-catalog/k2-137-b/,Terrestrial,158.915,0.64,0.2,0.0058,0.0,Transit,M
K2-138 b,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-b/,Super Earth,3.1,1.51,2.4,0.03385,0.05,Transit,G
K2-138 c,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-c/,Neptune-like,6.31,0.205,3.6,0.04461,0.04,Transit,G
K2-138 d,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-d/,Super Earth,7.92,2.39,5.4,0.05893,0.04,Transit,G
K2-138 e,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-e/,Neptune-like,12.97,0.302,8.3,0.0782,0.08,Transit,G
K2-138 f,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-f/,Terrestrial,1.63,2.904,12.8,0.10447,0.06,Transit,G
K2-138 g,K2-138,https://science.nasa.gov/exoplanet-catalog/k2-138-g/,Neptune-like,4.32,0.26880186,42,0.23109,0.06,Transit,G
K2-139 b,K2-139,https://science.nasa.gov/exoplanet-catalog/k2-139-b/,Gas Giant,123.00021,0.813,28.4,0.1796,0.12,Transit,G
K2-14 b,K2-14,https://science.nasa.gov/exoplanet-catalog/k2-14-b/,Neptune-like,20.7,0.429,8.4,0.0627,0.14,Transit,M
K2-140 b,K2-140,https://science.nasa.gov/exoplanet-catalog/k2-140-b/,Gas Giant,295.5819,1.21,6.6,0.068,0.0,Transit,G
K2-141 b,K2-141,https://science.nasa.gov/exoplanet-catalog/k2-141-b/,Super Earth,4.97,1.51,0.3,0.00747,0.0,Transit,K
K2-141 c,K2-141,https://science.nasa.gov/exoplanet-catalog/k2-141-c/,Neptune-like,8.0,0.62449925,7.7,0.0683,< 0.092,Transit,K
K2-146 b,K2-146,https://science.nasa.gov/exoplanet-catalog/k2-146-b/,Super Earth,5.77,2.05,2.6,0.0248,0.13,Transit,M
K2-146 c,K2-146,https://science.nasa.gov/exoplanet-catalog/k2-146-c/,Super Earth,7.49,2.19,4,0.0327,0.07,Transit,M
K2-147 b,K2-147,https://science.nasa.gov/exoplanet-catalog/k2-147-b/,Super Earth,2.77,1.47286006,1,0.01575,0.38,Transit,M
K2-148 b,K2-148,https://science.nasa.gov/exoplanet-catalog/k2-148-b/,Super Earth,2.33,1.33,4.4,0.0454,Not Found,Transit,K
K2-148 c,K2-148,https://science.nasa.gov/exoplanet-catalog/k2-148-c/,Super Earth,3.64,1.73,6.9,0.0616,Not Found,Transit,K
K2-148 d,K2-148,https://science.nasa.gov/exoplanet-catalog/k2-148-d/,Super Earth,3.33,1.64,9.8,0.0774,Not Found,Transit,K
K2-149 b,K2-149,https://science.nasa.gov/exoplanet-catalog/k2-149-b/,Super Earth,3.33,1.64,11.3,0.083,Not Found,Transit,M
