name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
11 Comae Berenices b,11 Comae Berenices,https://science.nasa.gov/exoplanet-catalog/11-comae-berenices-b/,Gas Giant,4914.9231199999995,1.09,323.2,1.178,0.24,Radial Velocity,K
11 Ursae Minoris b,11 Ursae Minoris,https://science.nasa.gov/exoplanet-catalog/11-ursae-minoris-b/,Gas Giant,4684.8142,1.09,1.4,1.53,0.08,Radial Velocity,K
14 Andromedae b,14 Andromedae,https://science.nasa.gov/exoplanet-catalog/14-andromedae-b/,Gas Giant,1131.15697,1.16,186.8,0.775,0.0,Radial Velocity,K
14 Herculis b,14 Herculis,https://science.nasa.gov/exoplanet-catalog/14-herculis-b/,Gas Giant,2559.48499,1.12,4.8,2.774,0.37,Radial Velocity,G
16 Cygni B b,16 Cygni B,https://science.nasa.gov/exoplanet-catalog/16-cygni-b-b/,Gas Giant,565.7374,1.2,2.2,1.66,0.68,Radial Velocity,G
17 Scorpii b,17 Scorpii,https://science.nasa.gov/exoplanet-catalog/17-scorpii-b/,Gas Giant,1373.0256,1.15,1.6,1.45,0.06,Radial Velocity,K
18 Delphini b,18 Delphini,https://science.nasa.gov/exoplanet-catalog/18-delphini-b/,Gas Giant,2926.26081,1.12,2.7,2.476,0.02,Radial Velocity,K
1RXS J160929.1-210524 b,1RXS J160929.1-210524,https://science.nasa.gov/exoplanet-catalog/1rxs-j1609291-210524-b/,Gas Giant,2542.64,1.664,6505.9,330,Not Found,Imaging,K
24 Bootis b,24 Bootis,https://science.nasa.gov/exoplanet-catalog/24-bootis-b/,Gas Giant,280.64389,1.24,30.3,0.194,0.03,Radial Velocity,K
24 Sextantis b,24 Sextantis,https://science.nasa.gov/exoplanet-catalog/24-sextantis-b/,Gas Giant,632.4816999999999,1.19,452.8,1.333,0.09,Radial Velocity,K
24 Sextantis c,24 Sextantis,https://science.nasa.gov/exoplanet-catalog/24-sextantis-c/,Gas Giant,273.3338,1.24,2.4,2.08,0.29,Radial Velocity,K
2M0437 b,2M0437,https://science.nasa.gov/exoplanet-catalog/2m0437-b/,Gas Giant,1271.32,1.16,3110.6,118,Not Found,Imaging,M
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 AB,https://science.nasa.gov/exoplanet-catalog/2mass-j01033563-5515561-ab-b/,Gas Giant,4131.79,1.1,1767.2,84,Not Found,Imaging,Not Found
2MASS J01225093-2439505 b,2MASS J01225093-2439505,https://science.nasa.gov/exoplanet-catalog/2mass-j01225093-2439505-b/,Gas Giant,7786.835,1.0,593.2,52,Not Found,Imaging,M
2MASS J02192210-3925225 b,2MASS J02192210-3925225,https://science.nasa.gov/exoplanet-catalog/2mass-j02192210-3925225-b/,Gas Giant,4417.8369999999995,1.44,5932.3,156,Not Found,Imaging,M
2MASS J0249-0557 c,2MASS J0249-0557,https://science.nasa.gov/exoplanet-catalog/2mass-j0249-0557-c/,Gas Giant,3686.8279999999995,1.11,401718,1950,Not Found,Imaging,M
2MASS J03590986+2009361 b,2MASS J03590986+2009361,https://science.nasa.gov/exoplanet-catalog/2mass-j035909862009361-b/,Gas Giant,5720.94,1.08,26590.3,572,Not Found,Imaging,M
2MASS J04414489+2301513 b,2MASS J04414489+2301513,https://science.nasa.gov/exoplanet-catalog/2mass-j044144892301513-b/,Gas Giant,2383.725,1.13,411,15,Not Found,Imaging,M
2MASS J11011926-7732383 b,2MASS J11011926-7732383,https://science.nasa.gov/exoplanet-catalog/2mass-j11011926-7732383-b/,Gas Giant,8899.24,1.06,365,266,Not Found,Imaging,Not Found
2MASS J11550485-7919108 b,2MASS J11550485-7919108,https://science.nasa.gov/exoplanet-catalog/2mass-j11550485-7919108-b/,Gas Giant,6356.599999999999,1.08,18550.1,587,Not Found,Imaging,M
2MASS J12073346-3932539 b,2MASS J12073346-3932539,https://science.nasa.gov/exoplanet-catalog/2mass-j12073346-3932539-b/,Gas Giant,1589.1499999999999,1.15,2634.4,55,Not Found,Imaging,M
2MASS J19383260+4603591 b,2MASS J19383260+4603591,https://science.nasa.gov/exoplanet-catalog/2mass-j193832604603591-b/,Gas Giant,603.877,1.2,406,0.92,0.33,Eclipse Timing Variations,B
2MASS J21252752-8138278 b,2MASS J21252752-8138278,https://science.nasa.gov/exoplanet-catalog/2mass-j21252752-8138278-b/,Gas Giant,3813.96,1.1,811226.1,7493,Not Found,Imaging,M
2MASS J22362452+4751425 b,2MASS J22362452+4751425,https://science.nasa.gov/exoplanet-catalog/2mass-j223624524751425-b/,Gas Giant,3972.875,1.1,4505.7,230,Not Found,Imaging,K
30 Arietis B b,30 Arietis B,https://science.nasa.gov/exoplanet-catalog/30-arietis-b-b/,Gas Giant,4392.4106,1.1,335.1,0.99,0.29,Radial Velocity,F
4 Ursae Majoris b,4 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/4-ursae-majoris-b/,Gas Giant,2511.49266,1.12,270.3,0.877,0.45,Radial Velocity,K
42 Draconis b,42 Draconis,https://science.nasa.gov/exoplanet-catalog/42-draconis-b/,Gas Giant,1233.1804,1.16,479.1,1.19,0.38,Radial Velocity,K
47 Ursae Majoris b,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-b/,Gas Giant,804.1098999999999,1.18,3,2.1,0.03,Radial Velocity,G
47 Ursae Majoris c,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-c/,Gas Giant,171.6282,1.27,6.6,3.6,0.1,Radial Velocity,G
47 Ursae Majoris d,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-d/,Gas Giant,521.2411999999999,1.2,38.4,11.6,0.16,Radial Velocity,G
51 Eridani b,51 Eridani,https://science.nasa.gov/exoplanet-catalog/51-eridani-b/,Gas Giant,635.66,1.19,32,13.2,0.45,Imaging,F
51 Pegasi b,51 Pegasi,https://science.nasa.gov/exoplanet-catalog/51-pegasi-b/,Gas Giant,146.2018,1.27,4.2,0.0527,0.01,Radial Velocity,G
55 Cancri b,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-b/,Gas Giant,263.989598,1.24,14.7,0.1134,0.0,Radial Velocity,K
55 Cancri c,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-c/,Gas Giant,54.476062,0.76,44.4,0.2373,0.03,Radial Velocity,K
55 Cancri d,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-d/,Gas Giant,1232.54474,1.16,15.3,5.957,0.13,Radial Velocity,K
55 Cancri e,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-e/,Super Earth,7.99,1.875,0.7,0.01544,0.05,Radial Velocity,Not Found
55 Cancri f,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-f/,Gas Giant,44.814029999999995,0.677,259.9,0.7708,0.08,Radial Velocity,K
6 Lyncis b,6 Lyncis,https://science.nasa.gov/exoplanet-catalog/6-lyncis-b/,Gas Giant,597.83823,1.2,2.5,2.028,0.04,Radial Velocity,K
61 Virginis b,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-b/,Neptune-like,5.1,2.11,4.2,0.050201,0.12,Radial Velocity,G
61 Virginis c,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-c/,Neptune-like,18.2,0.398,38,0.2175,0.14,Radial Velocity,G
61 Virginis d,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-d/,Neptune-like,22.9,0.456,123,0.476,0.35,Radial Velocity,G
7 Canis Majoris b,7 Canis Majoris,https://science.nasa.gov/exoplanet-catalog/7-canis-majoris-b/,Gas Giant,587.9855,1.2,2,1.758,0.06,Radial Velocity,K
7 Canis Majoris c,7 Canis Majoris,https://science.nasa.gov/exoplanet-catalog/7-canis-majoris-c/,Gas Giant,276.5121,1.24,2.7,2.153,0.08,Radial Velocity,K
70 Virginis b,70 Virginis,https://science.nasa.gov/exoplanet-catalog/70-virginis-b/,Gas Giant,2380.5467,1.13,116.7,0.481,0.4,Radial Velocity,G
75 Ceti b,75 Ceti,https://science.nasa.gov/exoplanet-catalog/75-ceti-b/,Gas Giant,787.90057,1.18,1.9,1.912,0.09,Radial Velocity,K
75 Ceti c,75 Ceti,https://science.nasa.gov/exoplanet-catalog/75-ceti-c/,Gas Giant,289.86096,1.24,5.6,3.929,0.02,Radial Velocity,K
8 Ursae Minoris b,8 Ursae Minoris,https://science.nasa.gov/exoplanet-catalog/8-ursae-minoris-b/,Gas Giant,416.3573,1.22,93.4,0.49,0.06,Radial Velocity,K
81 Ceti b,81 Ceti,https://science.nasa.gov/exoplanet-catalog/81-ceti-b/,Gas Giant,1051.0638099999999,1.17,2.8,2.104,0.04,Radial Velocity,K
91 Aquarii b,91 Aquarii,https://science.nasa.gov/exoplanet-catalog/91-aquarii-b/,Gas Giant,1017.056,1.17,181.4,0.7,0.03,Radial Velocity,K
AB Aurigae b,AB Aurigae,https://science.nasa.gov/exoplanet-catalog/ab-aurigae-b/,Gas Giant,2860.47,1.12,587.7,93.9,0.4,Imaging,A
AB Pictoris b,AB Pictoris,https://science.nasa.gov/exoplanet-catalog/ab-pictoris-b/,Gas Giant,4290.705,1.1,4421.7,260,Not Found,Imaging,K
AF Leporis b,AF Leporis,https://science.nasa.gov/exoplanet-catalog/af-leporis-b/,Gas Giant,1017.056,1.17,22,8.4,0.24,Imaging,F
Alpha Arietis b,Alpha Arietis,https://science.nasa.gov/exoplanet-catalog/alpha-arietis-b/,Gas Giant,572.0939999999999,1.2,380.8,1.2,0.25,Radial Velocity,K
Alpha Tauri b,Alpha Tauri,https://science.nasa.gov/exoplanet-catalog/alpha-tauri-b/,Gas Giant,2056.3601,1.13,1.7,1.46,0.1,Radial Velocity,K
AU Microscopii b,AU Microscopii,https://science.nasa.gov/exoplanet-catalog/au-microscopii-b/,Neptune-like,20.12,0.353,8.5,0.0649,0.01,Transit,Not Found
AU Microscopii c,AU Microscopii,https://science.nasa.gov/exoplanet-catalog/au-microscopii-c/,Neptune-like,9.6,0.225,18.9,0.1108,0.0,Transit,M
AU Microscopii d,AU Microscopii,https://science.nasa.gov/exoplanet-catalog/au-microscopii-d/,Super Earth,1.053,1.02,12.7,Unknown,0.0,Transit Timing Variations,M
b Centauri AB b,b Centauri AB,https://science.nasa.gov/exoplanet-catalog/b-centauri-ab-b/,Gas Giant,3464.3469999999998,1.11,4904.1,556,< 0.4,Imaging,Not Found
Barnard b,Barnard,https://science.nasa.gov/exoplanet-catalog/barnard-b/,Terrestrial,0.299,0.72,3.2,0.0229,0.03,Radial Velocity,M
Barnard c,Barnard,https://science.nasa.gov/exoplanet-catalog/barnard-c/,Terrestrial,0.335,0.743,4.1,0.0274,0.08,Radial Velocity,M
Barnard d,Barnard,https://science.nasa.gov/exoplanet-catalog/barnard-d/,Terrestrial,0.263,0.694,2.3,0.0188,0.04,Radial Velocity,M
Barnard e,Barnard,https://science.nasa.gov/exoplanet-catalog/barnard-e/,Terrestrial,0.193,0.637,6.7,0.0381,0.04,Radial Velocity,M
BD-06 1339 b,BD-06 1339,https://science.nasa.gov/exoplanet-catalog/bd-06-1339-b/,Neptune-like,8.5,0.254,3.9,0.0428,0.0,Radial Velocity,K
BD-06 1339 c,BD-06 1339,https://science.nasa.gov/exoplanet-catalog/bd-06-1339-c/,Gas Giant,54.0311,0.747,125.9,0.435,0.31,Radial Velocity,K
BD-08 2823 b,BD-08 2823,https://science.nasa.gov/exoplanet-catalog/bd-08-2823-b/,Neptune-like,12.7132,0.322,5.6,0.06,0.15,Radial Velocity,K
BD-08 2823 c,BD-08 2823,https://science.nasa.gov/exoplanet-catalog/bd-08-2823-c/,Gas Giant,104.8839,1.11,237.6,0.68,0.19,Radial Velocity,K
BD-10 3166 b,BD-10 3166,https://science.nasa.gov/exoplanet-catalog/bd-10-3166-b/,Gas Giant,187.51969999999997,1.26,3.5,0.04,0.02,Radial Velocity,G
BD-11 4672 b,BD-11 4672,https://science.nasa.gov/exoplanet-catalog/bd-11-4672-b/,Gas Giant,206.5895,1.25,4.5,2.36,0.05,Radial Velocity,K
BD-11 4672 c,BD-11 4672,https://science.nasa.gov/exoplanet-catalog/bd-11-4672-c/,Neptune-like,15.37,0.36,74.2,0.3,0.4,Radial Velocity,K
BD-13 2130 b,BD-13 2130,https://science.nasa.gov/exoplanet-catalog/bd-13-2130-b/,Gas Giant,3108.3774,1.11,2,1.66,0.21,Radial Velocity,K
BD-14 3065 b,BD-14 3065,https://science.nasa.gov/exoplanet-catalog/bd-14-3065-b/,Gas Giant,3931.5570999999995,1.926,4.3,0.0656,0.07,Transit,F
BD-17 63 b,BD-17 63,https://science.nasa.gov/exoplanet-catalog/bd-17-63-b/,Gas Giant,1640.0028,1.15,1.8,1.34,0.54,Radial Velocity,K
BD-210397 b,BD-210397,https://science.nasa.gov/exoplanet-catalog/bd-210397-b/,Gas Giant,222.48099999999997,1.25,5.2,2.63,0.1,Radial Velocity,K
BD-210397 c,BD-210397,https://science.nasa.gov/exoplanet-catalog/bd-210397-c/,Gas Giant,1525.5839999999998,1.15,17.1,5.9,0.43,Radial Velocity,K
BD+03 2562 b,BD+03 2562,https://science.nasa.gov/exoplanet-catalog/bd03-2562-b/,Gas Giant,2034.112,1.13,481.9,1.3,0.2,Radial Velocity,K
BD+14 4559 b,BD+14 4559,https://science.nasa.gov/exoplanet-catalog/bd14-4559-b/,Gas Giant,330.5432,1.23,268.9,0.78,0.29,Radial Velocity,K
BD+15 2375 b,BD+15 2375,https://science.nasa.gov/exoplanet-catalog/bd15-2375-b/,Gas Giant,337.21763,1.23,153.2,0.576,0.0,Radial Velocity,K
BD+15 2940 b,BD+15 2940,https://science.nasa.gov/exoplanet-catalog/bd15-2940-b/,Gas Giant,352.79130000000004,1.23,137.5,0.539,0.26,Radial Velocity,K
BD+20 2457 b,BD+20 2457,https://science.nasa.gov/exoplanet-catalog/bd20-2457-b/,Gas Giant,6807.9186,1.08,379.6,1.45,0.15,Radial Velocity,K
BD+20 2457 c,BD+20 2457,https://science.nasa.gov/exoplanet-catalog/bd20-2457-c/,Gas Giant,3963.3401,1.1,1.7,2.01,0.18,Radial Velocity,K
BD+20 274 b,BD+20 274,https://science.nasa.gov/exoplanet-catalog/bd20-274-b/,Gas Giant,1334.886,1.16,1.6,1.3,0.21,Radial Velocity,K
BD+20 594 b,BD+20 594,https://science.nasa.gov/exoplanet-catalog/bd20-594-b/,Neptune-like,22.2481,0.23,41.7,0.241,0.0,Transit,G
BD+45 564 b,BD+45 564,https://science.nasa.gov/exoplanet-catalog/bd45-564-b/,Gas Giant,432.2488,1.21,307.9,0.83,0.12,Radial Velocity,K
BD+48 738 b,BD+48 738,https://science.nasa.gov/exoplanet-catalog/bd48-738-b/,Gas Giant,289.2253,1.24,392.6,1,0.2,Radial Velocity,K
BD+48 740 b,BD+48 740,https://science.nasa.gov/exoplanet-catalog/bd48-740-b/,Gas Giant,540.3109999999999,1.2,2,1.7,0.76,Radial Velocity,K
BD+49 828 b,BD+49 828,https://science.nasa.gov/exoplanet-catalog/bd49-828-b/,Gas Giant,508.528,1.21,7.1,4.2,0.35,Radial Velocity,K
BD+55 362 b,BD+55 362,https://science.nasa.gov/exoplanet-catalog/bd55-362-b/,Gas Giant,228.83759999999998,1.25,265.6,0.78,0.27,Radial Velocity,K
BD+60 1417 b,BD+60 1417,https://science.nasa.gov/exoplanet-catalog/bd60-1417-b/,Gas Giant,4767.45,1.31,67794.6,1662,Not Found,Imaging,K
BD+63 1405 b,BD+63 1405,https://science.nasa.gov/exoplanet-catalog/bd63-1405-b/,Gas Giant,3305.432,1.11,3.3,2.06,0.88,Radial Velocity,K
Beta Cancri b,Beta Cancri,https://science.nasa.gov/exoplanet-catalog/beta-cancri-b/,Gas Giant,2479.0739999999996,1.12,1.7,1.7,0.08,Radial Velocity,K
Beta Pictoris b,Beta Pictoris,https://science.nasa.gov/exoplanet-catalog/beta-pictoris-b/,Gas Giant,3727.8280699999996,1.65,23.6,10.018,0.11,Imaging,A
Beta Pictoris c,Beta Pictoris,https://science.nasa.gov/exoplanet-catalog/beta-pictoris-c/,Gas Giant,3222.47837,1.11,3.3,2.68,0.31,Radial Velocity,A
Beta Ursae Minoris b,Beta Ursae Minoris,https://science.nasa.gov/exoplanet-catalog/beta-ursae-minoris-b/,Gas Giant,1938.7629999999997,1.14,1.4,1.4,0.19,Radial Velocity,K
CD Ceti b,CD Ceti,https://science.nasa.gov/exoplanet-catalog/cd-ceti-b/,Super Earth,3.95,1.82,2.3,0.0185,Not Found,Radial Velocity,M
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,https://science.nasa.gov/exoplanet-catalog/cfbdsir-j145829101343-b/,Gas Giant,3337.2149999999997,1.11,27.5,2.6,Not Found,Imaging,Not Found
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98,https://science.nasa.gov/exoplanet-catalog/cfhtwir-oph-98-b/,Gas Giant,2479.0739999999996,1.86,22027.4,200,Not Found,Imaging,M
CHXR 73 b,CHXR 73,https://science.nasa.gov/exoplanet-catalog/chxr-73-b/,Gas Giant,3994.8052700000003,1.1,5146.9,210,Not Found,Imaging,M
CI Tauri c,CI Tauri,https://science.nasa.gov/exoplanet-catalog/ci-tauri-c/,Gas Giant,1144.1879999999999,1.16,25.2,0.17,0.58,Radial Velocity,M
COCONUTS-2 b,COCONUTS-2,https://science.nasa.gov/exoplanet-catalog/coconuts-2-b/,Gas Giant,2542.64,1.11,1101369.9,7506,Not Found,Imaging,M
CoRoT-1 b,CoRoT-1,https://science.nasa.gov/exoplanet-catalog/corot-1-b/,Gas Giant,327.3649,1.49,1.5,0.02752,0.0,Transit,G
CoRoT-10 b,CoRoT-10,https://science.nasa.gov/exoplanet-catalog/corot-10-b/,Gas Giant,874.0324999999999,0.97,13.2,0.1055,0.53,Transit,K
CoRoT-11 b,CoRoT-11,https://science.nasa.gov/exoplanet-catalog/corot-11-b/,Gas Giant,740.5439,1.43,3,0.0436,0.0,Transit,F
CoRoT-12 b,CoRoT-12,https://science.nasa.gov/exoplanet-catalog/corot-12-b/,Gas Giant,291.45011,1.44,2.8,0.04016,0.07,Transit,G
CoRoT-13 b,CoRoT-13,https://science.nasa.gov/exoplanet-catalog/corot-13-b/,Gas Giant,415.72164,0.885,4,0.051,0.0,Transit,G
CoRoT-14 b,CoRoT-14,https://science.nasa.gov/exoplanet-catalog/corot-14-b/,Gas Giant,2415.508,1.09,1.5,0.027,0.0,Transit,F
CoRoT-16 b,CoRoT-16,https://science.nasa.gov/exoplanet-catalog/corot-16-b/,Gas Giant,170.03905,1.17,5.4,0.0618,0.33,Transit,G
CoRoT-17 b,CoRoT-17,https://science.nasa.gov/exoplanet-catalog/corot-17-b/,Gas Giant,772.3269,1.02,3.8,0.0461,0.0,Transit,G
CoRoT-18 b,CoRoT-18,https://science.nasa.gov/exoplanet-catalog/corot-18-b/,Gas Giant,1102.8701,1.31,1.9,0.0295,< 0.08,Transit,G
CoRoT-19 b,CoRoT-19,https://science.nasa.gov/exoplanet-catalog/corot-19-b/,Gas Giant,352.79130000000004,1.29,3.9,0.0518,0.05,Transit,F
CoRoT-2 b,CoRoT-2,https://science.nasa.gov/exoplanet-catalog/corot-2-b/,Gas Giant,1102.8701,1.466,1.7,0.02798,0.01,Transit,G
CoRoT-20 b,CoRoT-20,https://science.nasa.gov/exoplanet-catalog/corot-20-b/,Gas Giant,1366.6689999999999,0.84,9.2,0.09,0.59,Transit,K
CoRoT-20 c,CoRoT-20,https://science.nasa.gov/exoplanet-catalog/corot-20-c/,Gas Giant,5403.11,1.09,4.6,2.9,0.6,Radial Velocity,K
CoRoT-21 b,CoRoT-21,https://science.nasa.gov/exoplanet-catalog/corot-21-b/,Gas Giant,718.2957999999999,1.3,2.7,0.0417,0.0,Transit,F
CoRoT-22 b,CoRoT-22,https://science.nasa.gov/exoplanet-catalog/corot-22-b/,Neptune-like,12.2,0.435,9.8,0.092,0.08,Transit,G
CoRoT-23 b,CoRoT-23,https://science.nasa.gov/exoplanet-catalog/corot-23-b/,Gas Giant,889.9239999999999,1.05,3.6,0.048,0.16,Transit,G
CoRoT-24 b,CoRoT-24,https://science.nasa.gov/exoplanet-catalog/corot-24-b/,Neptune-like,5.7,0.33,5.1,0.056,0.0,Transit,K
CoRoT-24 c,CoRoT-24,https://science.nasa.gov/exoplanet-catalog/corot-24-c/,Neptune-like,28.0,0.44,11.8,0.098,0.0,Transit,K
CoRoT-25 b,CoRoT-25,https://science.nasa.gov/exoplanet-catalog/corot-25-b/,Gas Giant,85.8141,1.08,4.9,0.0578,0.0,Transit,F
CoRoT-26 b,CoRoT-26,https://science.nasa.gov/exoplanet-catalog/corot-26-b/,Gas Giant,165.2716,1.26,4.2,0.0526,0.0,Transit,G
CoRoT-27 b,CoRoT-27,https://science.nasa.gov/exoplanet-catalog/corot-27-b/,Gas Giant,3302.2537,1.007,3.6,0.0476,< 0.065,Transit,G
CoRoT-28 b,CoRoT-28,https://science.nasa.gov/exoplanet-catalog/corot-28-b/,Gas Giant,153.82971999999998,0.955,5.2,0.0603,0.05,Transit,K
CoRoT-29 b,CoRoT-29,https://science.nasa.gov/exoplanet-catalog/corot-29-b/,Gas Giant,270.15549999999996,0.9,2.9,0.0386,0.08,Transit,K
CoRoT-3 b,CoRoT-3,https://science.nasa.gov/exoplanet-catalog/corot-3-b/,Gas Giant,6884.1978,1.01,4.3,0.05783,0.0,Transit,F
CoRoT-30 b,CoRoT-30,https://science.nasa.gov/exoplanet-catalog/corot-30-b/,Gas Giant,921.7069999999999,1.009,9.1,0.0844,0.01,Transit,G
CoRoT-31 b,CoRoT-31,https://science.nasa.gov/exoplanet-catalog/corot-31-b/,Gas Giant,266.9772,1.46,4.6,0.0586,0.02,Transit,G
CoRoT-35 b,CoRoT-35,https://science.nasa.gov/exoplanet-catalog/corot-35-b/,Gas Giant,349.613,1.68,3.2,0.0429,0.0,Transit,F
CoRoT-36 b,CoRoT-36,https://science.nasa.gov/exoplanet-catalog/corot-36-b/,Gas Giant,216.1244,1.41,5.6,0.066,0.0,Transit,F
CoRoT-4 b,CoRoT-4,https://science.nasa.gov/exoplanet-catalog/corot-4-b/,Gas Giant,228.83759999999998,1.19,9.2,0.09,0.0,Transit,F
CoRoT-5 b,CoRoT-5,https://science.nasa.gov/exoplanet-catalog/corot-5-b/,Gas Giant,148.42661,1.388,4,0.04947,0.09,Transit,F
CoRoT-6 b,CoRoT-6,https://science.nasa.gov/exoplanet-catalog/corot-6-b/,Gas Giant,940.7768,1.166,8.9,0.0855,< 0.1,Transit,F
CoRoT-7 b,CoRoT-7,https://science.nasa.gov/exoplanet-catalog/corot-7-b/,Super Earth,4.07660518,1.68135,0.9,0.017016,0.0,Transit,K
CoRoT-7 c,CoRoT-7,https://science.nasa.gov/exoplanet-catalog/corot-7-c/,Neptune-like,8.4,0.253,3.7,0.046,0.0,Radial Velocity,K
CoRoT-7 d,CoRoT-7,https://science.nasa.gov/exoplanet-catalog/corot-7-d/,Neptune-like,17.142,0.384,9,Unknown,Not Found,Radial Velocity,K
CoRoT-8 b,CoRoT-8,https://science.nasa.gov/exoplanet-catalog/corot-8-b/,Gas Giant,69.9226,0.57,6.2,0.063,0.0,Transit,K
CoRoT-9 b,CoRoT-9,https://science.nasa.gov/exoplanet-catalog/corot-9-b/,Gas Giant,266.9772,1.066,95.3,0.4021,0.13,Transit,G
CoRoTID 223977153 b,CoRoTID 223977153,https://science.nasa.gov/exoplanet-catalog/corotid-223977153-b/,Gas Giant,47.674499999999995,0.57,6.7,0.071,Not Found,Transit,F
CT Chamaleontis b,CT Chamaleontis,https://science.nasa.gov/exoplanet-catalog/ct-chamaleontis-b/,Gas Giant,5403.11,2.2,365,440,Not Found,Imaging,K
DE Canum Venaticorum b,DE Canum Venaticorum,https://science.nasa.gov/exoplanet-catalog/de-canum-venaticorum-b/,Gas Giant,3823.2724189999994,1.1,11.2,5.75,0.0,Eclipse Timing Variations,M
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,https://science.nasa.gov/exoplanet-catalog/denis-p-j0823031-491201-b/,Gas Giant,9058.154999999999,1.06,246.4,0.36,0.34,Astrometry,Not Found
DH Tauri b,DH Tauri,https://science.nasa.gov/exoplanet-catalog/dh-tauri-b/,Gas Giant,3496.1299999999997,2.7,10441.5,330,Not Found,Imaging,K
DMPP-1 b,DMPP-1,https://science.nasa.gov/exoplanet-catalog/dmpp-1-b/,Neptune-like,24.27,0.472,18.6,0.1462,< 0.083,Radial Velocity,F
DMPP-1 c,DMPP-1,https://science.nasa.gov/exoplanet-catalog/dmpp-1-c/,Neptune-like,9.6,0.273,6.6,0.0733,< 0.057,Radial Velocity,F
DMPP-1 d,DMPP-1,https://science.nasa.gov/exoplanet-catalog/dmpp-1-d/,Super Earth,3.35,1.65,2.9,0.0422,< 0.07,Radial Velocity,F
DMPP-1 e,DMPP-1,https://science.nasa.gov/exoplanet-catalog/dmpp-1-e/,Super Earth,4.13,1.86,5.5,0.0651,< 0.07,Radial Velocity,F
DMPP-2 b,DMPP-2,https://science.nasa.gov/exoplanet-catalog/dmpp-2-b/,Gas Giant,138.89171,1.28,5.2,0.0664,0.08,Radial Velocity,F
DMPP-3 A b,DMPP-3 A,https://science.nasa.gov/exoplanet-catalog/dmpp-3-a-b/,Super Earth,2.58,1.41,6.7,0.0662,0.14,Radial Velocity,K
DMPP-4 b,DMPP-4,https://science.nasa.gov/exoplanet-catalog/dmpp-4-b/,Neptune-like,12.2,0.315,3.5,0.04853,< 0.063,Radial Velocity,F
DP Leonis b,DP Leonis,https://science.nasa.gov/exoplanet-catalog/dp-leonis-b/,Gas Giant,1995.9723999999999,1.14,28,8.19,0.39,Eclipse Timing Variations,B
DS Tucanae A b,DS Tucanae A,https://science.nasa.gov/exoplanet-catalog/ds-tucanae-a-b/,Neptune-like,413.179,0.509,8.1,Unknown,0.0,Transit,G
EPIC 201170410.02,Not Found,https://science.nasa.gov/exoplanet-catalog/epic-20117041002/,Super Earth,1.15,1.047,6.8,0.0349,0.0,Transit,M
EPIC 201238110 b,EPIC 201238110,https://science.nasa.gov/exoplanet-catalog/epic-201238110-b/,Super Earth,4.16,1.87,28.2,Unknown,Not Found,Transit,M
EPIC 201427007 b,EPIC 201427007,https://science.nasa.gov/exoplanet-catalog/epic-201427007-b/,Super Earth,2.86,1.5,0.7,Unknown,Not Found,Transit,G
EPIC 201497682 b,EPIC 201497682,https://science.nasa.gov/exoplanet-catalog/epic-201497682-b/,Terrestrial,0.26,0.692,2.1,Unknown,Not Found,Transit,K
EPIC 201595106 b,EPIC 201595106,https://science.nasa.gov/exoplanet-catalog/epic-201595106-b/,Super Earth,7.67,1.565,0.9,0.0177,0.0,Transit,G
EPIC 201615463 c,EPIC 201615463,https://science.nasa.gov/exoplanet-catalog/epic-201615463-c/,Super Earth,1.98,1.22,3.8,Unknown,Not Found,Transit,F
EPIC 201754305 d,EPIC 201754305,https://science.nasa.gov/exoplanet-catalog/epic-201754305-d/,Super Earth,1.08,1.03,2.7,Unknown,Not Found,Transit,K
EPIC 201757695.02,Not Found,https://science.nasa.gov/exoplanet-catalog/epic-20175769502/,Terrestrial,0.688,0.90819,2,0.0296,0.0,Transit,K
EPIC 201833600 c,EPIC 201833600,https://science.nasa.gov/exoplanet-catalog/epic-201833600-c/,Terrestrial,0.972,1.0,4,Unknown,Not Found,Transit,K
EPIC 201841433 b,EPIC 201841433,https://science.nasa.gov/exoplanet-catalog/epic-201841433-b/,Super Earth,1.12,1.04,4.2,0.035,Not Found,Transit,K
